Day,Variable,Value,Optimal Objective Value
1,Model Status,Infeasible,N/A
2,Model Status,Infeasible,N/A
3,"x[0,0,13]",0.1570538238691623,13.228478088657221
3,"x[0,0,14]",0.2731370849898476,13.228478088657221
3,"x[0,0,15]",0.3293359321839215,13.228478088657221
3,"x[0,0,16]",0.41619894702390764,13.228478088657221
3,"x[0,0,17]",0.489646048693438,13.228478088657221
3,"x[0,0,18]",0.5155878730348831,13.228478088657221
3,"x[0,0,19]",0.4901798824136117,13.228478088657221
3,"x[0,0,20]",0.19679980018462806,13.228478088657221
3,"e[0,0,0]",0.2890948095216952,13.228478088657221
3,"e[0,0,1]",0.3001660820864914,13.228478088657221
3,"e[0,0,2]",0.3003451333381552,13.228478088657221
3,"e[0,0,3]",0.3018935877745452,13.228478088657221
3,"e[0,0,4]",0.354561768808312,13.228478088657221
3,"e[0,0,5]",0.453942935036119,13.228478088657221
3,"e[0,0,6]",0.3664575235303574,13.228478088657221
3,"e[0,0,7]",0.3134118341824507,13.228478088657221
3,"e[0,0,8]",0.3144837700777888,13.228478088657221
3,"e[0,0,9]",0.314275360786485,13.228478088657221
3,"e[0,0,10]",0.3093592296878825,13.228478088657221
3,"e[0,0,11]",0.3243000909519916,13.228478088657221
3,"e[0,0,12]",0.317245035191891,13.228478088657221
3,"e[0,0,13]",0.16255181071827,13.228478088657221
3,"e[0,0,14]",0.07196681540478878,13.228478088657221
3,"e[0,0,16]",5.551115123125783e-17,13.228478088657221
3,"e[0,0,20]",0.2410166529254522,13.228478088657221
3,"e[0,0,21]",0.3648548660603161,13.228478088657221
3,"e[0,0,22]",0.3566323227312931,13.228478088657221
3,"e[0,0,23]",0.36013873262368,13.228478088657221
3,"y[0,0,0]",1.0,13.228478088657221
3,"y[0,0,1]",1.0,13.228478088657221
3,"y[0,0,2]",1.0,13.228478088657221
3,"y[0,0,3]",1.0,13.228478088657221
3,"y[0,0,4]",1.0,13.228478088657221
3,"y[0,0,5]",1.0,13.228478088657221
3,"y[0,0,6]",1.0,13.228478088657221
3,"y[0,0,7]",1.0,13.228478088657221
3,"y[0,0,8]",1.0,13.228478088657221
3,"y[0,0,9]",1.0,13.228478088657221
3,"y[0,0,10]",1.0,13.228478088657221
3,"y[0,0,11]",1.0,13.228478088657221
3,"y[0,0,12]",1.0,13.228478088657221
3,"y[0,0,13]",1.0,13.228478088657221
3,"y[0,0,14]",1.0,13.228478088657221
3,"y[0,0,15]",1.0,13.228478088657221
3,"y[0,0,16]",1.0,13.228478088657221
3,"y[0,0,17]",1.0,13.228478088657221
3,"y[0,0,18]",1.0,13.228478088657221
3,"y[0,0,19]",1.0,13.228478088657221
3,"y[0,0,20]",1.0,13.228478088657221
3,"y[0,0,21]",1.0,13.228478088657221
3,"y[0,0,22]",1.0,13.228478088657221
3,"y[0,0,23]",1.0,13.228478088657221
3,I[13],0.0341421356237309,13.228478088657221
3,I[16],0.4013057701639208,13.228478088657221
3,I[17],0.831831786608541,13.228478088657221
3,I[18],0.7450629382751282,13.228478088657221
3,I[19],0.5230974316043313,13.228478088657221
3,I[20],0.14900081031140477,13.228478088657221
3,Model Status,Infeasible,N/A
4,Model Status,Infeasible,N/A
5,Model Status,Infeasible,N/A
6,Model Status,Infeasible,N/A
7,"x[0,0,15]",0.37627728877191013,22.223082896865886
7,"x[0,0,16]",0.6024816127937662,22.223082896865886
7,"x[0,0,17]",0.6332471210155901,22.223082896865886
7,"x[0,0,18]",0.6277180743354842,22.223082896865886
7,"x[0,0,19]",0.2458233764908629,22.223082896865886
7,"x[0,0,20]",0.2731370849898476,22.223082896865886
7,"e[0,0,0]",0.3678873351969131,22.223082896865886
7,"e[0,0,1]",0.3849448847484521,22.223082896865886
7,"e[0,0,2]",0.38840328167466,22.223082896865886
7,"e[0,0,3]",0.4015502083429003,22.223082896865886
7,"e[0,0,4]",0.4569803884975984,22.223082896865886
7,"e[0,0,5]",0.5553158394349142,22.223082896865886
7,"e[0,0,6]",0.5041672619244282,22.223082896865886
7,"e[0,0,7]",0.4748247750072345,22.223082896865886
7,"e[0,0,8]",0.479625100326718,22.223082896865886
7,"e[0,0,9]",0.4885394888530899,22.223082896865886
7,"e[0,0,10]",0.5020832679878536,22.223082896865886
7,"e[0,0,11]",0.5128927422948943,22.223082896865886
7,"e[0,0,12]",0.5191872713813963,22.223082896865886
7,"e[0,0,13]",0.5204033126744664,22.223082896865886
7,"e[0,0,14]",0.5416199791374344,22.223082896865886
7,"e[0,0,15]",0.16809373401615213,22.223082896865886
7,"e[0,0,19]",0.35055719370217103,22.223082896865886
7,"e[0,0,20]",0.28046158461356846,22.223082896865886
7,"e[0,0,21]",0.4754413676681296,22.223082896865886
7,"e[0,0,22]",0.4579930987719131,22.223082896865886
7,"e[0,0,23]",0.4675143313096452,22.223082896865886
7,"y[0,0,0]",1.0,22.223082896865886
7,"y[0,0,1]",1.0,22.223082896865886
7,"y[0,0,2]",1.0,22.223082896865886
7,"y[0,0,3]",1.0,22.223082896865886
7,"y[0,0,4]",1.0,22.223082896865886
7,"y[0,0,5]",1.0,22.223082896865886
7,"y[0,0,6]",1.0,22.223082896865886
7,"y[0,0,7]",1.0,22.223082896865886
7,"y[0,0,8]",1.0,22.223082896865886
7,"y[0,0,9]",1.0,22.223082896865886
7,"y[0,0,10]",1.0,22.223082896865886
7,"y[0,0,11]",1.0,22.223082896865886
7,"y[0,0,12]",1.0,22.223082896865886
7,"y[0,0,13]",1.0,22.223082896865886
7,"y[0,0,14]",1.0,22.223082896865886
7,"y[0,0,15]",1.0,22.223082896865886
7,"y[0,0,16]",1.0,22.223082896865886
7,"y[0,0,17]",1.0,22.223082896865886
7,"y[0,0,18]",1.0,22.223082896865886
7,"y[0,0,19]",1.0,22.223082896865886
7,"y[0,0,20]",1.0,22.223082896865886
7,"y[0,0,21]",1.0,22.223082896865886
7,"y[0,0,22]",1.0,22.223082896865886
7,"y[0,0,23]",1.0,22.223082896865886
7,I[13],0.0682842712474619,22.223082896865886
7,I[14],0.4165340546095177,22.223082896865886
7,I[15],1.00377878733769,22.223082896865886
7,I[16],0.9894081361773281,22.223082896865886
7,I[17],0.5644656286269628,22.223082896865886
7,I[18],0.3204388537219057,22.223082896865886
7,Model Status,Infeasible,N/A
8,Model Status,Infeasible,N/A
9,Model Status,Infeasible,N/A
10,Model Status,Infeasible,N/A
11,Model Status,Infeasible,N/A
12,Model Status,Infeasible,N/A
13,Model Status,Infeasible,N/A
14,"x[0,0,13]",0.8201118318204311,18.63616113640972
14,"x[0,0,14]",0.8953302469232005,18.63616113640972
14,"x[0,0,15]",0.936436054485448,18.63616113640972
14,"x[0,0,16]",1.052744160716681,18.63616113640972
14,"x[0,0,17]",1.135885775490114,18.63616113640972
14,"x[0,0,18]",1.0728630876376533,18.63616113640972
14,"x[0,0,19]",0.9548004562876278,18.63616113640972
14,"x[0,0,20]",0.9334064250378196,18.63616113640972
14,"x[0,0,21]",0.7513403483284874,18.63616113640972
14,"x[0,0,22]",0.5735380265934716,18.63616113640972
14,"e[0,0,0]",0.5656159591769496,18.63616113640972
14,"e[0,0,1]",0.513404850509137,18.63616113640972
14,"e[0,0,2]",0.4739202328887779,18.63616113640972
14,"e[0,0,3]",0.4673357622175742,18.63616113640972
14,"e[0,0,4]",0.4934322142690914,18.63616113640972
14,"e[0,0,5]",0.6146703125409132,18.63616113640972
14,"e[0,0,6]",0.5974199233403399,18.63616113640972
14,"e[0,0,7]",0.5774719590066252,18.63616113640972
14,"e[0,0,8]",0.6044570963737449,18.63616113640972
14,"e[0,0,9]",0.6400878536609027,18.63616113640972
14,"e[0,0,10]",0.6802129162994133,18.63616113640972
14,"e[0,0,11]",0.7184127028787859,18.63616113640972
14,"e[0,0,12]",0.7761171619900431,18.63616113640972
14,"e[0,0,13]",0.009213809016131225,18.63616113640972
